CLASS,RITUAL,LEVEL,COST,LOCATION,DESCRIPTION
Kobold King (Green Kobolds),Kobold Stronghold,2,50 Gold; 75 Iron; 3 AP,Greater Mines,Upgrades a Kobold Hatchery into a Stronghold with improved defense as well as increased Kobold production. A Kobold Stronghold also produces Elite Kobolds of its corresponding color type.
Kobold King (Green Kobolds),Summon Elder Dragon,3,200 Gold; 200 Kobold; 50 EM,Greater Mines,"Summons an Elder Dragon to a Greater Mine. If a lesser Dragon is already present it will be driven away as the Elder Dragon takes its place. The Dragon demands large amounts of Gold and Consumes hundreds of Kolbolds when it arrives. After having settled in themine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Kobold Kings (Red Kobolds),Lesser Ritual,-,10 RU,Anywhere,Grants the caster a new first level ritual.
Kobold Kings (Red Kobolds),Ritual of Mastery,-,25 RU,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Kobold Kings (Red Kobolds),Grand Ritual,-,100 RU,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Kobold Kings (Red Kobolds),Kobold Hatchery,1,50 Gold; 20 Iron; 3 AP,Greater Mines,"Turns an ordinary Mine into a Kobold lair where Kobolds thrive and reproduce.  Kobold Hatcheries will automatically produce Kobolds of the color corresponding to the Gems found in the Mine. Mines with high Gem incomes produce more Kobolds. It will also enable special recruitment of the corresponding Gem type. Black Kobolds and Stone Drakes can be recruited in all Hatcheries, regardless of Gem type. The Hatchery is protected by simple rock walls for defence."
Kobold Kings (Red Kobolds),Flame Rune Trap,1,1 RU; 1 Kobold,Fortified ,Creates a magical trap outside a Fortification. It explodes in a small cloud of Flames burning human sized targets to cinders.
Kobold Kings (Red Kobolds),Summon Dragon,2,50 Gold; 25 Kobolds; 25 RU,Greater Mines,"Summons a Dragon to a Greater Mine. The Dragon demands Gold and consumes several dozens of Kobolds when it arrives. After having settled in the Mine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Kobold Kings (Red Kobolds),Foretelling,2,1 RU; 5 Kobold,Anywhere,A few Kobolds and a small amount of Gems are burned on a sacrificial pyre. Through the fumes the Shaman can discern future Kobold Strongholds.
Kobold Kings (Red Kobolds),Kobold Stronghold,2,50 Gold; 75 Iron; 3 AP,Greater Mines,Upgrades a Kobold Hatchery into a Stronghold with improved defense as well as increased Kobold production. A Kobold Stronghold also produces Elite Kobolds of its corresponding color type.
Kobold Kings (Red Kobolds),Summon Elder Dragon,3,200 Gold; 200 Kobold; 50 RU,Greater Mines,"Summons an Elder Dragon to a Greater Mine. If a lesser Dragon is already present it will be driven away as the Elder Dragon takes its place. The Dragon demands large amounts of Gold and Consumes hundreds of Kolbolds when it arrives. After having settled in themine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Kobold King (White Kobolds),Lesser Ritual,-,10 DI,Anywhere,Grants the caster a new first level ritual.
Kobold King (White Kobolds),Ritual of Mastery,-,25 DI,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Kobold King (White Kobolds),Grand Ritual,-,100 DI,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Kobold King (White Kobolds),Kobold Hatchery,1,50 Gold; 20 Iron; 3 AP,Greater Mines,"Turns an ordinary Mine into a Kobold lair where Kobolds thrive and reproduce.  Kobold Hatcheries will automatically produce Kobolds of the color corresponding to the Gems found in the Mine. Mines with high Gem incomes produce more Kobolds. It will also enable special recruitment of the corresponding Gem type. Black Kobolds and Stone Drakes can be recruited in all Hatcheries, regardless of Gem type. The Hatchery is protected by simple rock walls for defence."
Kobold King (White Kobolds),Lightning Rune Trap,1,1 DI; 1 Kobold,Fortified ,Creates a magical trap outside a Fortification. It strikes a single target with a Lightning bolt powerful enought to kill even an Ogre.
Kobold King (White Kobolds),Summon Dragon,2,50 Gold; 25 Kobold; 25 DI,Greater Mines,"Summons a Dragon to a Greater Mine. The Dragon demands Gold and consumes several dozens of Kobolds when it arrives. After having settled in the Mine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Kobold King (White Kobolds),Foretelling,2,1 DI; 5 Kobold,Anywhere,A few Kobolds and a small amount of Gems are burned on a sacrificial pyre. Through the fumes the Shaman can discern future Kobold Strongholds.
Kobold King (White Kobolds),Kobold Stronghold,2,50 Gold; 75 Iron; 3 AP,Greater Mines,Upgrades a Kobold Hatchery into a Stronghold with improved defense as well as increased Kobold production. A Kobold Stronghold also produces Elite Kobolds of its corresponding color type.
Kobold King (White Kobolds),Summon Elder Dragon,3,200 Gold; 200 Kobold; 50 DI,Greater Mines,"Summons an Elder Dragon to a Greater Mine. If a lesser Dragon is already present it will be driven away as the Elder Dragon takes its place. The Dragon demands large amounts of Gold and Consumes hundreds of Kolbolds when it arrives. After having settled in themine the Dragon will occasionally fly out and attack nearby Settlements, Mines, and Citadels not controlled by the Kobolds."
Markgraf (Nekromant),Lesser Ritual,-,10 HoG,Anywhere,Grants the caster a new first level ritual.
Markgraf (Nekromant),Ritual of Mastery,-,30 HoG,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Markgraf (Nekromant),Grand Ritual,-,120 HoG,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Markgraf (Nekromant),Raise Dead,1,2 AP,Anywhere,"This ritual is used to raise the dead as servants of the Necromancer. The ritual will only work if there are Humanoid Corpses at the current location. Raising the dead does not cost any resources, but it does take a toll on the Necromancer's sanity. Performing this ritual repeatedly will eventually drive the Necromancer permanently insane.  Good locations for the ritual to raise the dead are graveyards, battlefields, and places where there have been large battles between Humanoids."
Markgraf (Nekromant),Reanimate Animals,1,2 AP,Anywhere,"This ritual is used to raise dead animals as servants of the Necromancer.  The ritual will only work if there are dead animals at the current location.  Raising dead animals does not cost any resources, but it does take a toll on the Necromancer's sanity.  Performing this ritual repeatedly will eventually drive the Necromancer permanently insane. Good locations for the ritual are Ancient Forests and places where there have been large battles involving many animals."
Markgraf (Nekromant),Minor Summoning,1,10 HoG,Land ,"Summon one or more minor undead servants such as Wights, Ghost warriors, or Shades."
Markgraf (Nekromant),Dark Knowledge,1,3 HoG,Anywhere,"The spirits of the Netherworld will reveal a location in the world where there are many corpses. The more corpses, the greater the chance for that particular location to be revealed."
Markgraf (Nekromant),Twiceborn,1,30 HoG,Citadels; Graveyards,"The Necromancer can ensure that he will not die permanently even if he should be killed due to some unforeseen circumstances. After the Necromancer has been killed, he will rise as a Wight or Ghost, retaining all his necromantic powers and insanity. If the ritual is cast in a Citadel, the Necromancer will rise as a Wight in his home citadel when killed. If it is cast in a Graveyard, the Necromancer will rise on a graveyard under the Necromancer's control and live as a Ghost instead."
Markgraf (Nekromant),Raven Spy,1,5 HoG,Land ,"The Necromancer summons a Raven that will move around randomly, gathering information. The Raven is stealthy, but it can be attacked by armies able to see stealthy units. It cannot claim lands."
Markgraf (Nekromant),Flesh Rite,1,50 HoG,Old Castle Ruins,Turns the Markgraf or a Markmeister into a Ghoul Baron. To perform this ritual both the Nekromant and the Markgraf must be in an Old Castle Ruin. The Ghoul Baron is capable of necromancy and can also regain sanity by eating a substantial amount of people
Markgraf (Nekromant),Major Summoning,2,75 HoG,Land ,"This incantation will summon forth a powerful undead servant. Not least among which is the Ghost, the Banshee, the Wraith, and the Dracolich."
Markgraf (Nekromant),Creat Flesh Golem,2,5 Gold; 5 HMND_Corpses; 2 AP,Land ,"By taking 5 random Corpses and stitching them together into one large humanoid being the Enchanter can create a Flesh Golem. The creating of a Flesh Golem is relatively quick and inexpensive, but it is not nearly as powerful as golems made out of more solid materials."
Markgraf (Nekromant),Ravenous Curse,2,40 HoG,Villages; Smaller Settlements,Ravenous Curse is cast on a small Village and will turn some of the inhabitants into ghouls that hunger for flesh. The ghouls will fall under the control of the Necromancer once they have satisfied most of their immediate hunger.
Markgraf (Nekromant),Animate Abomination,2,50 HoG; 50 Corpses; 2 AP,Anywhere,"The Necromancer collects a great number of Corpses and creates a huge mound of decaying flesh. He then performs a dark ritual giving the corpse mound false life. The Abomination will slither and crawl around and incorporate corpses into it's decaying mass, growing stronger and stronger. it will crush and incorporate living beings if it gets the chance."
Markgraf (Nekromant),Blood Rite,2,125 HoG,Old Castle Ruins,The Necromant turns the Markgraf into a Vampire. To perform this ritual both the Nekromant and the Markgraf must be in an Old Castle Ruin. If the Vampire is slain it will turn into a cloud of dust and the body will soon reform in the coffin in the Vampire's home. Thus the killed Vampire will soon be able to fly out again and exact vengeance on its killer. The Vampire can purify himself by drinking large amounts of blood and thus reduce the effects of insanity.
Markgraf (Nekromant),Blood Servant,3,75 HoG,Old Castle Ruins,The Vampire turns the Markmeister into a Vampire. To perform this ritual both the Vampire and the Markmeister must be in an Old Castle Ruin. Vampires created with theis power will be able to perform simple necromantic rituals like Raising the Dead.
Necromancer,Lesser Ritual,-,10 HoG,Anywhere,Grants the caster a new first level ritual.
Necromancer,Ritual of Mastery,-,30 HoG,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Necromancer,Grand Ritual,-,120 HoG,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Necromancer,Raise Dead,1,3 AP,Anywhere,"This ritual is used to raise the dead as servants of the Necromancer. The ritual will only work if there are Humanoid Corpses at the current location. Raising the dead does not cost any resources, but it does take a toll on the Necromancer's sanity. Performing this ritual repeatedly will eventually drive the Necromancer permanently insane.  Good locations for the ritual to raise the dead are graveyards, battlefields, and places where there have been large battles between Humanoids."
Necromancer,Reanimate Animals,1,3 AP,Anywhere,"This ritual is used to raise dead animals as servants of the Necromancer.  The ritual will only work if there are dead animals at the current location.  Raising dead animals does not cost any resources, but it does take a toll on the Necromancer's sanity.  Performing this ritual repeatedly will eventually drive the Necromancer permanently insane. Good locations for the ritual are ancient Forests and places where there have been large battles involving many animals."
Necromancer,Minor Summoning,1,10 HoG,Land ,"Summon one or more minor undead servants such as Wights, Ghost warriors, or Shades."
Necromancer,Dark Knowledge,1,3 HoG,Anywhere,"The spirits of the Netherworld will reveal a location in the world where there are many corpses. The more corpses, the greater the chance for that particular location to be revealed."
Necromancer,Twiceborn,1,30 HoG,Citadels; Graveyards,"The Necromancer can ensure that he will not die permanently even if he should be killed due to some unforeseen circumstances. After the Necromancer has been killed, he will rise as a Wight or Ghost, retaining all his necromantic powers and insanity. If the ritual is cast in a Citadel, the Necromancer will rise as a Wight in his home citadel when killed. If it is cast in a Graveyard, the Necromancer will rise on a graveyard under the Necromancer's control and live as a Ghost instead."
Necromancer,Raven Spy,1,5 HoG,Land ,"The Necromancer summons a Raven that will move around randomly, gathering information. The Raven is stealthy, but it can be attacked by armies able to see stealthy units. It cannot claim lands."
Necromancer,Pierce the Veil of Death,1,1 HoG,Anywhere,"A Necromancer or Spirit Guide can get a glimpse of the world of the dead, also known as Hades. The world of Hades is the same as Elysium, but it is populated by the spirts of those who have died and instead of the green, lush nature in Elysium everthing is dead. Certain powerful undead can plane shift to Hades and this spell can be useful to find a safe spot to do so, because the spirits of the dead do not appreciate visitors."
Necromancer,Major Summoning,2,75 HoG,Land ,"This incantation will summon forth a powerful undead servant. Not least among which is the Ghost, the Banshee, the Wraith, and the Dracolich."
Necromancer,Raise Legion,2,100 HoG,Old Battlefields,"The Necromancer stirs the dead spirits of an Old Battlefield to raise an entire army. The army is often led by ancient generals and mages of remarkable power. Depending on whether the ritual is cast in the north or the south, different legions will answer the call. The remnants of the Old Battlefield disappear when the ritual is cast."
Necromancer,Ravenous Curse,2,40 HoG,Villages; Smaller Human Settlements,Ravenous Curse is cast on a small Village and will turn some of the inhabitants into ghouls that hunger for flesh. The ghouls will fall under the control of the Necromancer once they have satisfied most of their immediate hunger.
Necromancer,Blood Rite,2,125 HoG,Old Castle Ruins,The Necromancer turns himself into a Vampire. If the Vampire is slain it will turn into a cloud of dust and the body will soon reform in the coffin in the Vampire's home. Thus the killed Vampire will soon be able to fly out again and exact vengeance on its killer. The Vampire can purify himself by drinking large amounts of blood and thus reduce the effects of insanity.
Necromancer,Mummification,2,20 HoG,Temples; Pyramids,The Necromancer animates a pair of mummies and takes control over them. The spell can only be cast in Temples and Pyramids and it will be slighty more effective in the latter. Mummies are powerful undead beings that reform in their home temple if they should be slain.
Necromancer,Stygian Paths,2,25 HoG,Anywhere,The Necromancer shifts into the world of Hades with his entire army. In Hades he will be able to rush at incredible speed until the spell ends. The spell ends after one month and when it does the Necromancer and his men will return to Elysium again.
Necromancer,Wall of Unlife,2,26 HoG; 6 AP,Fortified ,The Necromancer enchants the walls of a Fortification with foul magic. Anyone moving in close proximity to the walls will become weakened and lose health.
Necromancer,Pyramid of Skulls,2,25 HoG; 25 HMND_Corpses; 2 AP,Fortified ,"The Necromancer constructs a pyramid of Human skulls and enchants it with vile magic. The pyramid is wreathed in horror and will project unbearable dread upon enemies. The dread energies of the pyramid will build up over time and can be projected at vast distances, but when combat starts the dread of the pyramid will be unleashed in shorter intervals and with less power."
Necromancer,Animate Abomination,2,50 HoG; 50 Corpses; 2 AP,Anywhere,"The Necromancer collects a great number of Corpses and creates a huge mound of decaying flesh. He then performs a dark ritual giving the corpse mound false life. The Abomination will slither and crawl around and incorporate corpses into it's decaying mass, growing stronger and stronger. it will crush and incorporate living beings if it gets the chance."
Necromancer,Planar Swap,3,50 HoG,Anywhere,This ritual swaps places for those in Elysium with those in Hades. It will affect everyone at the current location.
Necromancer,Lichcraft,3,250 HoG,Temples,The Necromancer turns himself into a Lich. The Lich is a verypowerful immortal being that will quickly recover from insanity.
Pale One,Lesser Ritual,-,10 EM,Anywhere,Grants the caster a new first level ritual.
Pale One,Ritual of Mastery,-,30 EM,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Pale One,Grand Ritual,-,120 EM,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Pale One,Cave Temple Construction,1,25 Gold; 50 Iron,Deep Earth Gem Deposits,The Earth Reader converts a Deep Earth Gem Deposit into a Cave Temple. The gems in the deposit are used to adorn the temple and are no longer available for use in rituals.
Pale One,Scrying,1,5 SA,Anywhere,Summons the image of a location far away in a bowl o fwater. It can be used to scry on unknown locations or enemy armies that have disappeared from sight
Pale One,Awaken Guardians,1,20 EM,Anywhere,"Creates Guardian Statues. When an enemy approaches the statues will begin to move and fight the intruder if need be. In times of peace or at least when there is no battle, the Statues will remain stationary."
Pale One,Lesser Lava Summoning,1,10 RU,Land ,Summons and takes control over a small amount of Fire beings.
Pale One,Lesser Olm Summoning,1,10 SA,Anywhere,Summons an Olm to aid the King of the Deep in his campaign against Elysium. The Olm can destroy lesser minds by using its mental powers.
Pale One,Lesser Deep Summoning,1,10 EM,Land ,Summons and takes control over some beings that can be found deep under Elysium.
Pale One,Lesser Summoning of the Dead,1,10 DI,Anywhere,Summons one of the King of the Deep's long dead allies.
Pale One,Olm Conclave,2,120 SA,Anywhere,The Olm Conclave consists of an Olm Sage and a few trusted Olms. The Olms can destroy lesser minds by using their mental powers.
Pale One,Summoning of the Dead,2,80 DI,Anywhere,"Summons a group of dead Deep Ones that have been dead for ages, so they can assist in the war once again."
Pale One,Lava Summoning,2,80 RU,Land ,Summons and takes control over a group of Fire Beings.
Pale One,Deep Earth Summoning,2,80 EM,Land ,Summons and takes control over a group of beings that can be found deep under Elysium.
Pale One,Awaken Marble Oracle,2,80 EM,Anywhere,Creates a Marble Oracle and his 2 Guardians. The Marble Oracle is attuned to Earth magic and cannot leave the location it was created in.
Pale One,Awaken Onyx Oracle,3,240 EM,Anywhere,Creates an Onyx Oracle and his retinue. The Onyx Oracle is highly attuned to Earth magic and cannot leave the location it was created in.
Pale One,Earth made Flesh,3,480 EM,Anywhere,The Oracle ventures down into the depths of the earth and the strange place known as the Womb of the Earth and calls for the mother of the entire race to leave her eternal slumber.
Priest King,Lesser Ritual,-,20 Sac,Anywhere,Grants the caster a new first level ritual.
Priest King,Ritual of Mastery,-,60 Sac,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Priest King,Grand Ritual,-,240 Sac,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Priest King,Summon God,3,500 Sac,Land ,"The High Priest performs the ultimate sacrifice to draw his Teotl God into this world. This will cost him and hundreds of slaves their life. Different priests will summon different Gods. The Teotl Gods are unique and six in number: The Teotl of War, the Teotl of Night, the Teotl of the Underworld, the Teotl of the Sky, the Teotl of Rain, and Teteo Inan, the Bloody Mother"
Priest King (Bloody Mother),Ceremony of the Lord of Bloody Mother,1,25 Sac,Land ,"A Priest of the Bloody Mother performs a blood sacrifice to call the servants of the Bloody Mother. Serpents, Jaguars, or Tlahuelpuchi  will answer the call. The servants are sent by their Mother and are always loyal to the summoner"
Priest King (Bloody Mother),Greater Ceremony of the Lord of Bloody Mother,2,125 Sac,Land ,A Priest of the Bloody Mother performs a great sacrifice to his insatiable Mother. The Priest is rewarded with powerful servants of the Teteo Inan. Plumed Serpents or Couatls will arrive to witness the ceremony and follow the priest.
Priest King (Death),Ceremony of the Lord of Death,1,25 Sac,Land ,A Priest of the Dead performs a blood sacrifice to call the servants of the Lord of Death. Longdead or Civateteo will answer the call. The servants are sent by their Lord and are always loyal to the summoner
Priest King (Death),Greater Ceremony of the Lord of Death,2,125 Sac,Land ,A Priest of the Dead performs a great sacrifice to his insatiable Lord. The Priest is rewarded with powerful servants of the Teotl. Onaquis or Bolon-Ti-Kus will arrive to witness the ceremony and follow the priest.
Priest King (Moon),Ceremony of the Lord of Night,1,25 Sac,Land ,A Moon Priest performs a blood sacrifice to call the servants of the Lord of Night. Beast Bats or Ozelotl will answer the call. The servants are sent by their Lord and are always loyal to the summoner
Priest King (Moon),Greater Ceremony of the Lord of Night,2,125 Sac,Land ,A Moon Priest performs a great sacrifice to his insatiable Lord. The Priest is rewarded with powerful servants of the Teotl. Tzitzimitl or Onaquis will arrive to witness the ceremony and follow the priest.
Priest King (Rain),Ceremony of the Lord of Rain,1,25 Sac,Land ,"A Priest of the Rain performs a blood sacrifice to call the servants of the Lord of Rain. Toad Warriors, Rain Warriors, or Toad Priests will answer the call. The servants are sent by their Lord and are always loyal to the summoner"
Priest King (Rain),Greater Ceremony of the Lord of Rain,2,125 Sac,Land ,A Priest of the Rain performs a great sacrifice to his insatiable Lord. The Priest is rewarded with powerful servants of the Teotl. Tlaloques or Rain Kings with their Toad Warrior retinues will arrive to witness the ceremony and follow the priest.
Priest King (Sky),Ceremony of the Lord of Sky,1,25 Sac,Land ,A Sky Priest performs a blood sacrifice to call the servants of the Lord of Sky. Beast Bats or Turkey Spirit Doubles will answer the call. The servants are sent by their Lord and are always loyal to the summoner
Priest King (Sky),Greater Ceremony of the Lord of Sky,2,125 Sac,Land ,"A Priest of the Sky performs a great sacrifice to his insatiable Lord. The Priest is rewarded with powerful servants of the Teotl. Tzitzimitl, Couatls, Great Macaws, or Chaacs will arrive to witness the ceremony and follow the priest."
Priest King (War and Sun),Ceremony of the Lord of War,1,25 Sac,Land ,A Priest King performs a blood sacrifice to call the servants of the Lord of War. Jaguars or Ozelotl will answer the call. The servants are sent by their Lord and are always loyal to the summoner
Priest King (War and Sun),Greater Ceremony of the Lord of War,2,125 Sac,Land ,"The Priest King performs a great sacrifice to his insatiable Lord. The King is rewarded with powerful servants of the Teotl. Plumed Serpents, Balam, or Great Macaws will arrive to witness the ceremony and follow the King."
Scourge Lord,Lesser Ritual,-,25 Life,Anywhere,Grants the caster a new first level ritual.
Scourge Lord,Ritual of Mastery,-,100 Life,Anywhere,"Grants the Scourge Lord a new second level ritual. If cast by a Herald he will be leveled up and become a full fledged Scourge Lord. There can only be 1 Scourge Lord, unless there is a Scourge King."
Scourge Lord,Grand Ritual,-,400 Life,Anywhere,"The Scourge Lord imbues himself with vast amounts of stolen Lifeforce and transforms himself into a Scourge King, a being of almost divine power. Scourge Kings allow their heralds to become Scourge Lords, but there can never be more than 1 Scourge King. If cast by the Scourge King this ritual will give him a new third level ritual."
Scourge Lord,Call of the Pyramid,1,50 Life,Anywhere,Allows the Caster to immediately transport himself to a known Pyramid of Power
Scourge Lord,Construct Pillar of Power,1,25 Gold; 25 Iron; 3 AP,Flat terrains,"A Herald, or the Scourge Lord himself, constructs a Pillar of Power.  The Life force is Channeled to the Scourge Lord who will use it to empower his agents or summon beings of manifest destruction. Forests and Settlements give more life force than Plains. Mountains and hills give very little Life force and Deserts are devoid of Life force.  Eventually surrounding terrains will wither away to Deserts. Oceans have less Life force available, but cannot wither away. A Settlement that is under the influence of an active Pillar of Power will produce ghouls that gather at the Pillar, awaiting their master's call. The Pillar can drain up to 15 piont of Life force from the surrounding lands. If there is more Life force available the excess will not be drained until some lands have withered away."
Scourge Lord,Scourge Summons,1,50 Life,Land,"The Scourge Lord, or one of his Herals, channels the Life force drained from the world to summon 1 or a few beings of manifest destruction."
Scourge Lord,Dark Bonds,1,150 Life; 3 AP,Mines,The herald binds the will of some miners with dark magic. The least scrupulous of the miners is given a Dark Blessing and is appointed as the Taskmaster for his former colleagues. The Mine will double its production (max +3 Gold and +3 Iron respectively) as long as the Taskmaster remains in the Mine.
Scourge Lord,Call of the Pillar,2,50 Life,Anywhere,Allows the Caster to immediately transport himself to a known Pillar of Power.
Scourge Lord,Construct Pyramid of Power,2,75 Gold; 75 Iron; 6 AP,Pillar of Power,The Scourge Lord constructs a huge pyramidal monument. The Pyramid of Power drains Life force from lands farther from itself than a Pillar of Power. It can also be protected by walls. The Pyramid can drain up to 50 points of Life force from the surrounding lands.  If there is more Life force available the excess will not be drained until some lands have withered away.
Scourge Lord,Pyramid Walls,2,50 Life; 25 Iron; 3 AP,Pyramid of Power,The Scourge Lord constructs defensive walls around his Pyradmid of Power.
Scourge Lord,Appoint Heralds,2,100 Life; 30 Gold,Land,The Scourge Lord creates a Herald. The Herald gains physical strenght as well as magical powers. All Heralds have the power to create Pillars of Power for their master
Scourge Lord,Dark Blessing,2,100 Life,Anywhere,"The Scourge Lord invests large amounts of life force to imbue himself and his servants with stolen power.  The Scourge Lord, his Heralds and some of his most powerful summons will permanently gain additional magical abilities, elemental resistances, or physical power. The ritual can be cast many times granting new or increased abilities."
Scourge Lord,Dark Scourge Summons,2,150 Life,Land,The Scourge Lord Channels the Life force drained from the world to summon 1 or more powerful beings of manifest destruction.
Scourge Lord,Construct Guardian,2,100 Life; 10 Iron; 3 AP,Land,"The Scourge Lord constructs a statue of an Iron Gryphon and enchants it with stolen Life force to give it false life and magical powers. The Iron Gryphon is immobile, but very difficult to harm. It is often seen adorning the walls of the Lord's Pyramids."
Scourge Lord,Pyramid Gate,3,100 Life,Anywhere,Allows the Caster to immediately transport himself and his entire army to a known Pyramid of Power.
Scourge Lord,Construct Mountain of Power,3,250 Life; 250 Gold; 250 Iron; 9 AP,Mountains,The Scourge King reshapes a Mountain and covers its slopes with runes of power. The mountain will drain Life force from a vast area surrounding it as long as it is controlled by the Scourge King. The Mountain can drain up to 100 points of Life force from the surrounding lands. If there is more Life force available the excess will not be drained until some lands have withered away.
Scourge Lord,Black Scourge Summons,3,750 Life,Land,The Scourge Lord channels the life force drained from the world to summon a monstrous being of manifest destruction.
Senator,Coronation,2,600 Gold,Capital,"The Senator proclaims himself Emperor and supreme ruler of Elysium. The coronation can only be performed in the Capital of Elysium. Whether the Capital is currently in working order or not does not matter. Proclaiming oneself Emperor is unlikely to impress beasts, brigands or anyone else that didn't obey the Senator from the start and they will still have to be subjugated the hard way"
Senator,Imperial Wedding,3,400 Gold,Capital,The Emperor is married with the Empress to be. The Emperor's bride is a Renata carefully selected by her order to become the future Empress. Both the Emperor and Renata must be present in the Capital to perform the wedding ceremony
Senator,Erect Statue,3,100 Gold; 4 AP,Hamlets or larger,"No major Settlement is complete without its own gigantic statue of the Emperor. The Statue will guard the village from beasts and brigands and in return the villagers will be fully loyal to the Emperor and nothing will be withheld from the tax colletion. There can only be 1 statue of the Emperor in a single Settlement. After all, there is only one Emperor."
Senator,Apotheosis,3,1000 Gold,Temples,"While being ruler over Elysium is great, the Gods are even more powerful than that. This ritual fixes that by raising the Emperor or Empress of Elysium to the status of full Godhood."
Senator,Appoint Governor,3,100 Gold,Towns; Cities,The Emperor appoints a Governor to rule and raise Imperial Statues in distant lands
Senator,Planar Swap,3,500 Gold,Anywhere,Swaps places for those in Elysium with those in Hades. It will affect everyone at the current location.
Senator (Empress),Apotheosis,3,1000 Gold,Temples,"While being ruler over Elysium is great, the Gods are even more powerful than that. This ritual fixes that by raising the Emperor or Empress of Elysium to the status of full Godhood."
Senator (Magistratus),Raise Limitanei,1,-,Fortified ,Raises a stationary Legionary force to protect the limes
Senator (Magistratus),Erect Imperial Statue,1,100 Gold; 4 AP,Hamlets or larger,"No major Settlement is complete without its own gigantic statue of the Emperor. The Statue will guard the village from beasts and brigands and in return the villagers will be fully loyal to the Emperor and nothing will be withheld from the tax colletion. There can only be 1 statue of the Emperor in a single Settlement. After all, there is only one Emperor."
Senator (Magistratus),Erect Statue of the Underworld,1,101 Gold; 4 AP,Hamlets or larger,"No major Settlement is complete without its own gigantic statue of the Emperor. The Statue will guard the village from beasts and brigands and in return the villagers will be fully loyal to the Emperor and nothing will be withheld from the tax colletion. There can only be 1 statue of the Emperor in a single Settlement. After all, there is only one Emperor."
Senator (Renatus),Katabasis,1,5 Gold,near Water ,The Renatus immerses himself in water from the sacred river and descends into the Underworld. The ritual can only be cast when adjacent to water and the caster will appear in the corresponding location in Hades.
Senator (Renatus),Anabasis,1,5 Gold,near Water ,The Renatus immerses himself in water from the sacred river and ascends from the Underworld to the corresponding location in Elysium. The ritual can only be cast when adjacent to water.
Senator (Reveler),Incite Revelry,1,25 Gold,Ancient Forest; Sacred Groves,"Awakens the power of lust and revelry that are hidden in all Ancient Forests and tries to turn this power to the will of the Senator. Women will shed their clothes and go deep into the forest and join the Satyrs in their revelry. After a while, bands of wild humanoids will emerge from the forest and spread the ways of the Senator."
Senator (Reveler),Build Lararium,1,25 Gold; 3 AP,Farms,"The Reveler builds a small shrine dedicated to the Lar of the land. Lares are benevolent rural spirits who bless and protect farmlands and households. A Farm blessed by the presence of a Lar will receive increased income, as well as the aid of the Lar, should brigands or hostile beasts attack."
Troll King,Lesser Ritual,-,25 Fng,Anywhere,Grants the caster a new first level ritual.
Troll King,Ritual of Mastery,-,75 Fng,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Troll King,Grand Ritual,-,300 Fng,Swamps; Bogs,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Troll King,Wither Wood,1,25 Fng,Forests; Jungles,"Will make a Forest or Jungle wither and die within a few days. Herbs will stop growing, but the growth of Fungus will not be affected."
Troll King,Vision Brew,1,50 Fng,Anywhere,"In a boiling cauldron the caster drops Eye of Newt and Toe of Frog, Wool of Bat and Tongue of Dog. The unhealthy fumes will grant the caster knowledge of the surrounding areas and whatever enemies may lurk there. However, this method of scrying is unreliable and will leave many blind spots where enemies can still hide. The scrying will also reveal stealthy troops and battles that take place at the location targeted by the scrying"
Troll King,Plant Giant Fungus,1,50 Fng,Forests; Jungles; Swamps; Caves,"The Troll Mage plants a Giant Fungus in a Strategically important position. The Fungus is mobile, but will defend its location and release its spores on enemies"
